,index,ADDRESS,LOCATION,POINT
122,182,26 VESEY STREET MANHATTAN NY 10007,"26, Vesey Street, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10007, USA","(40.7120967, -74.0097029477332, 0.0)"
123,183,463 MYRTLE AVENUE BROOKLYN NY 11205,"463, Myrtle Avenue, Fort Greene, BK, Kings County, NYC, New York, 11205, USA","(40.69354475, -73.9667381975942, 0.0)"
124,185,336 LEXINGTON AVENUE MANHATTAN NY 10016,"336, Lexington Avenue, Murray Hill, Manhattan, Manhattan Community Board 5, New York County, NYC, New York, 10016, USA","(40.7497825, -73.97756285, 0.0)"
125,186,87 STUYVESANT PLACE STATEN ISLAND NY 10301,"87, Stuyvesant Place, Saint George, Richmond County, NYC, New York, 10301, USA","(40.6440066, -74.0776034, 0.0)"
126,189,8802 LITTLE NECK PARKWAY QUEENS NY 11001,"Little Neck Parkway, Floral Park, Queens County, NYC, New York, 11001, USA","(40.7272142, -73.710252, 0.0)"
127,190,15 BEEKMAN STREET MANHATTAN NY 10038,"Vanderbilt Building, 15, Beekman Street, Financial District, Manhattan, Manhattan Community Board 1, New York County, NYC, New York, 10038, USA","(40.71084085, -74.0064648210099, 0.0)"
128,192,501 LEXINGTON AVENUE MANHATTAN NY 10017,"501, Lexington Avenue, Midtown East, Manhattan, Manhattan Community Board 6, New York County, NYC, New York, 10017, USA","(40.7547564, -73.973463, 0.0)"
129,193,25402 ROCKAWAY BOULEVARD QUEENS NY 11422,"Rockaway Boulevard, Laurelton, Bayswater, Queens County, NYC, New York, 11422:11434, USA","(40.6561869, -73.7672496, 0.0)"
130,195,4018 MAIN STREET QUEENS NY 11354,"Main Street, Linden Hill, Queens, Queens County, NYC, New York, 11354, USA","(40.7629068, -73.8319907, 0.0)"
131,196,537 PARK AVENUE BROOKLYN NY 11205,"537, Park Avenue, Marcy Houses, BK, Kings County, NYC, New York, 11205, USA","(40.6970881, -73.9548986, 0.0)"
132,197,1919 HYLAN BOULEVARD STATEN ISLAND NY 10305,"1919, Hylan Boulevard, Dongan Hills, Todt Hill, Richmond County, NYC, New York, 10305, USA","(40.5828716, -74.0967526, 0.0)"
133,198,2788 BROADWAY MANHATTAN NY 10025,"Absolute Bagels, 2788, Broadway, Manhattan Valley, Manhattan, Manhattan Community Board 7, New York County, NYC, New York, 10025, USA","(40.8024597, -73.9673698441467, 0.0)"
134,201,8777 PARSONS BOULEVARD QUEENS NY 11432,"Parsons Boulevard, Jamaica, Queens, Queens County, NYC, New York, 11432, USA","(40.706515, -73.8020928, 0.0)"
135,204,7112 AVENUE U BROOKLYN NY 11234,"Bergen Beach Cafe, 7112, Avenue U, Bergen Beach, Kings County, NYC, New York, 11234, USA","(40.6198614, -73.9069068271907, 0.0)"
