,ID,RESTAURANT NAME,BOROUGH,BUILDING,STREET,ZIPCODE,INSPECTION YEAR,GRADE,NUMBER OF CRITICAL VIOLATIONS
23261,50065774,DEVIN'S FISH & CHIPS,MANHATTAN,747,SAINT NICHOLAS AVE,10031,2018,0,1.0
23262,50065774,DEVIN'S FISH & CHIPS,MANHATTAN,747,SAINT NICHOLAS AVE,10031,2019,0,3.0
23263,50065797,UNCLE JACK'S MEAT HOUSE,QUEENS,3618,DITMARS BLVD,11105,2018,0,1.5
23264,50065807,HANA NOODLE STATION,BROOKLYN,445,ALBEE SQ WEST,11201,2018,0,1.0
23265,50065807,HANA NOODLE STATION,BROOKLYN,445,ALBEE SQ WEST,11201,2019,0,1.0
23266,50065815,'WICHCRAFT,MANHATTAN,1407,BROADWAY,10018,2018,0,1.0
23267,50065815,'WICHCRAFT,MANHATTAN,1407,BROADWAY,10018,2019,0,1.0
23268,50065818,SUNSET BAGEL CAFE AND GRILL,BROOKLYN,1501,FOSTER AVE,11230,2018,0,1.0
23269,50065818,SUNSET BAGEL CAFE AND GRILL,BROOKLYN,1501,FOSTER AVE,11230,2019,0,1.0
23270,50065819,KBBQ,MANHATTAN,230,PARK AVE,10169,2018,0,1.0
23271,50065819,KBBQ,MANHATTAN,230,PARK AVE,10169,2019,0,1.0
23272,50065822,SEIS VECINOS RESTAURANT,BRONX,640,PROSPECT AVE,10455,2018,0,2.0
23273,50065822,SEIS VECINOS RESTAURANT,BRONX,640,PROSPECT AVE,10455,2019,0,3.0
23274,50065825,MIRANDA'S PUPUSERIA,QUEENS,9040,160TH ST,11432,2018,0,1.0
23275,50065831,SOLDIER RESTAURANT BUFFET,BROOKLYN,1444,FULTON ST,11216,2018,0,1.5
23276,50065833,MOLY ASIAN RESTAURANT,BROOKLYN,1126,BROADWAY,11221,2018,0,1.0
23277,50065840,GRILL POINT,MANHATTAN,736,W 181ST ST,10033,2018,0,2.0
23278,50065845,HONG KONG GARDEN,QUEENS,19511,69TH AVE,11365,2018,0,1.0
23279,50065848,THE PATIO RESTAURANT,BROOKLYN,6111,5TH AVE,11220,2018,0,1.0
23280,50065856,POKE GREEN,MANHATTAN,3,HANOVER SQ,10004,2018,0,2.0
23281,50065856,POKE GREEN,MANHATTAN,3,HANOVER SQ,10004,2019,0,1.0
23282,50065860,MYKONOS BLUE,MANHATTAN,127,W 28TH ST,10001,2018,0,2.0
23283,50065860,MYKONOS BLUE,MANHATTAN,127,W 28TH ST,10001,2019,0,2.0
23284,50065863,BEATS KARAOKE CAFE,BROOKLYN,219,GRAND ST,11211,2018,0,1.0
23285,50065876,EL PODER DE LA NUTRICION,BROOKLYN,104,WYCKOFF AVE,11237,2018,0,1.0
23286,50065881,ROLLING COW,STATEN ISLAND,2655,RICHMOND AVE,10314,2018,0,1.0
23287,50065887,LOS TRES CHIFLADOS HOMEMADE MEXICANN RESTAURANT,BROOKLYN,1046,FLATBUSH AVE,11226,2019,0,1.0
23288,50065895,THE HALAL BROTHERS,QUEENS,14712,45TH AVE,11355,2018,0,4.0
23289,50065897,149 BBQ POCHA,QUEENS,4003,149TH PL,11354,2018,0,2.0
23290,50065904,BARROW STREET ALE HOUSE,MANHATTAN,15,BARROW ST,10014,2018,0,2.5
23291,50065904,BARROW STREET ALE HOUSE,MANHATTAN,15,BARROW ST,10014,2019,0,1.0
23292,50065906,AMBER,MANHATTAN,103,W 70TH ST,10023,2018,0,1.0
23293,50065915,LEVANTE,QUEENS,2621,JACKSON AVE,11101,2018,0,1.0
23294,50065916,MANGO MANGO DESSERT,MANHATTAN,23,SAINT MARKS PL,10003,2018,0,1.0
23295,50065931,MIGHTY QUINN'S BARBEQUE,MANHATTAN,1407,BROADWAY,10018,2019,0,2.0
23296,50065949,MI ARMADILLO GRANDE,STATEN ISLAND,1569,CASTLETON AVE,10302,2018,0,1.0
23297,50065959,J & J DELICIOUS CAKES,BROOKLYN,664,FLATBUSH AVE,11225,2018,0,1.0
23298,50065959,J & J DELICIOUS CAKES,BROOKLYN,664,FLATBUSH AVE,11225,2019,0,1.0
23299,50065970,POST POINT CAFE,STATEN ISLAND,1065,POST AVE,10302,2019,0,1.0
23300,50065972,ABIR HALAL RESTAURANT INC.,BROOKLYN,524B,NOSTRAND AVE,11216,2018,0,1.0
23301,50065974,DOMINO'S,MANHATTAN,464,3RD AVE,10016,2019,0,1.0
23302,50065978,New China,BROOKLYN,6218,11TH AVE,11219,2018,0,1.0
23303,50065982,EL CASTILLO DE MANHATTAN RESTAURANT,MANHATTAN,207,MADISON ST,10002,2019,0,1.0
