,ID,RESTAURANT NAME,INSPECTION YEAR,NUMBER OF NON-CRITICAL VIOLATIONS,ADDRESS
252,40369782,MCDONALD'S,2018,2.0,701 UTICA AVENUE BROOKLYN NY 11203
254,40369810,PETE'S TAVERN,2018,2.0,129 EAST   18 STREET MANHATTAN NY 10003
255,40369849,GINO'S PIZZERIA,2018,1.0,6132 SPRINGFIELD BOULEVARD QUEENS NY 11364
257,40369869,JIM BRADY'S RESTAURANT,2018,1.0,75 MAIDEN LANE MANHATTAN NY 10038
258,40369878,VILLA MOSCONI RESTAURANT,2018,1.0,69 MACDOUGAL STREET MANHATTAN NY 10012
259,40369940,THE NEW AMITY RESTAURANT,2018,3.0,1134 MADISON AVENUE MANHATTAN NY 10028
261,40369954,VOLARE RESTAURANT,2018,1.0,147 WEST FOURTH STREET MANHATTAN NY 10012
262,40369958,SPARKS STEAK HOUSE,2018,2.0,210 EAST   46 STREET MANHATTAN NY 10017
263,40369983,THE DART SPORTS BAR,2018,2.0,8318 PARSONS BOULEVARD QUEENS NY 11432
266,40370150,JOHN MULLIGAN'S FIRESIDE PUB,2018,1.0,4272 KATONAH AVENUE BRONX NY 10470
267,40370167,BURGER KING,2018,2.0,22210 NORTHERN BOULEVARD QUEENS NY 11361
268,40370168,EAR INN,2018,1.5,326 SPRING STREET MANHATTAN NY 10013
269,40370238,BURGER KING,2018,2.0,6815 NORTHERN BOULEVARD QUEENS NY 11377
271,40370342,GREENPOINT TAVERN,2018,1.0,188 BEDFORD AVENUE BROOKLYN NY 11249
272,40370356,MCDONALD'S,2018,1.0,3267 RICHMOND AVENUE STATEN ISLAND NY 10312
273,40370436,ROSSINI'S,2018,2.0,108 EAST   38 STREET MANHATTAN NY 10016
275,40370463,THREE GUY'S RESTAURANT,2018,3.0,960 MADISON AVENUE MANHATTAN NY 10021
279,40370766,SMITH & WOLLENSKY,2018,1.0,201 EAST 49th STREET MANHATTAN NY 10017
280,40370781,MCDONALD'S,2018,1.0,16011 WILLETS POINT BOULEVARD QUEENS NY 11357
282,40370856,OLIVE TREE CAFE & COMEDY CELLAR,2018,1.0,117 MAC DOUGAL STREET MANHATTAN NY 10012
283,40370916,BURGER KING,2018,1.0,25810 HILLSIDE AVENUE QUEENS NY 11004
285,40370917,BURGER KING,2018,2.0,9006 CHURCH AVENUE BROOKLYN NY 11236
286,40370939,MANDUCATIS,2018,1.0,1327 JACKSON AVENUE QUEENS NY 11101
288,40371454,WEST BANK CAFE,2018,1.5,407 WEST   42 STREET MANHATTAN NY 10036
289,40371614,LA BARAKA RESTAURANT,2018,1.0,25509 NORTHERN BOULEVARD QUEENS NY 11362
291,40371684,LIBERMAN'S LUNCHEONETTE,2018,1.0,4801 16 AVENUE BROOKLYN NY 11204
292,40371718,ZAFI'S LUNCHEONETTE,2018,1.0,500 GRAND STREET MANHATTAN NY 10002
293,40371727,LA PALINA RESTAURANT,2018,1.5,159 AVENUE O BROOKLYN NY 11204
294,40371805,TY'S,2018,2.0,114 CHRISTOPHER STREET MANHATTAN NY 10014
295,40371906,MARINER INN,2018,1.0,3501 AVENUE S BROOKLYN NY 11234
296,40371988,NORTH SHORE DINER,2018,1.0,19652 NORTHERN BLVD QUEENS NY 11358
298,40372112,GREEN HOUSE CAFE,2018,1.0,7717 THIRD AVENUE BROOKLYN NY 11209
299,40372196,MCDONALD'S,2018,1.5,3660 EAST TREMONT AVENUE BRONX NY 10465
301,40372262,LA RIPAILLE RESTAURANT,2018,2.0,605 HUDSON STREET MANHATTAN NY 10014
302,40372357,MARINA CAFE,2018,1.0,154 MANSION AVE STATEN ISLAND NY 10308
303,40372417,DON FILIPPO RESTAURANT,2018,2.0,1133 LEXINGTON AVENUE MANHATTAN NY 10075
304,40372422,BURGER KING,2018,1.0,9283 QUEENS BOULEVARD QUEENS NY 11374
306,40372426,DAZIES RESTAURANT,2018,1.0,3941 QUEENS BOULEVARD QUEENS NY 11104
307,40372445,OMONIA CAFE,2018,2.0,3220 BROADWAY QUEENS NY 11106
308,40372466,MURALS ON 54/RANDOLPH'S,2018,1.0,65 WEST   54 STREET MANHATTAN NY 10019
310,40372485,VETERANS OF FOREIGN WARS POST #107 CANTEEN,2018,1.0,2414 GERRITSEN AVENUE BROOKLYN NY 11229
311,40372596,TROPICAL HOUSE BAKING CO.,2018,1.0,267 SCHENECTADY AVENUE BROOKLYN NY 11213
312,40372618,BURGER KING,2018,1.0,15405 ROCKAWAY BOULEVARD QUEENS NY 11434
314,40372631,YANKEE JZ PIZZA,2018,2.0,1599 WESTCHESTER AVENUE BRONX NY 10472
315,40372694,CLINTON RESTAURANT,2018,1.5,917 CLINTONVILLE STREET QUEENS NY 11357
316,40372971,RACQUET & TENNIS CLUB,2018,1.0,370 PARK AVENUE MANHATTAN NY 10022
318,40373118,GOLDEN DOVE DINER,2018,1.5,3281 RICHMOND AVENUE STATEN ISLAND NY 10312
319,40373160,KORNER PIZZERIA,2018,3.0,226 CHURCH AVENUE BROOKLYN NY 11218
320,40373272,HENRY'S END,2018,1.0,44 HENRY STREET BROOKLYN NY 11201
321,40373462,VILLA BERULIA,2018,1.0,107 EAST   34 STREET MANHATTAN NY 10016
323,40373500,VICTOR'S CAFE,2018,1.0,236 WEST   52 STREET MANHATTAN NY 10019
325,40373597,PETES PIZZERIA & RESTAURANT,2018,1.0,7522 3 AVENUE BROOKLYN NY 11209
326,40373669,BuBo,2018,1.0,515 3 AVENUE MANHATTAN NY 10016
327,40373794,READY PENNY INN,2018,2.0,3707 73 STREET QUEENS NY 11372
329,40373888,IL MULINO,2018,3.0,86 WEST    3 STREET MANHATTAN NY 10012
330,40373889,FELIDIA RESTAURANT,2018,1.0,243 EAST   58 STREET MANHATTAN NY 10022
331,40373909,MCDONALD'S,2018,1.0,5804 CLARENDON ROAD BROOKLYN NY 11203
332,40373912,THE MALT HOUSE,2018,2.5,206 THOMPSON STREET MANHATTAN NY 10012
333,40373937,SHUN LEE,2018,1.0,37 WEST   65 STREET MANHATTAN NY 10023
334,40373938,IHOP,2018,2.0,5655 BROADWAY BRONX NY 10463
336,40374088,PONGSRI THAI RESTAURANT,2018,2.0,244 WEST   48 STREET MANHATTAN NY 10036
337,40374131,PRIMAVERA PIZZA & PASTA,2018,1.5,1005 2 AVENUE MANHATTAN NY 10022
339,40374192,ELIO'S,2018,1.0,1621 SECOND AVENUE MANHATTAN NY 10028
340,40374266,KASTELI II,2018,1.0,372 8 AVENUE MANHATTAN NY 10001
342,40374277,MOLLY WEE PUB,2018,1.0,402 8 AVENUE MANHATTAN NY 10001
344,40374415,OMEN JAPANESE CUISINE,2018,2.0,113 THOMPSON STREET MANHATTAN NY 10012
345,40374460,MCDONALD'S,2018,2.0,7269 KISSENA BOULEVARD QUEENS NY 11367
347,40374711,ROSIE O'GRADY RESTAURANT,2018,2.0,800 7 AVENUE MANHATTAN NY 10019
348,40374814,EUROPA BAR,2018,2.0,9402 SUTPHIN BOULEVARD QUEENS NY 11435
350,40374834,CASA BELLA,2018,1.0,127 MULBERRY STREET MANHATTAN NY 10013
351,40374974,CHEZ NAPOLEON,2018,1.0,365 WEST   50 STREET MANHATTAN NY 10019
352,40375108,TURKEY'S NEST TAVERN,2018,1.5,94 BEDFORD AVENUE BROOKLYN NY 11249
354,40375369,OZONE PIZZERIA,2018,3.0,9615 LIBERTY AVENUE QUEENS NY 11417
355,40375376,AGRA RESTAURANT,2018,2.0,807 LEXINGTON AVENUE MANHATTAN NY 10065
356,40375616,ARTURO'S,2018,1.0,1617 YORK AVENUE MANHATTAN NY 10028
357,40375634,PARIS BLUES,2018,2.0,2021 7 AVENUE MANHATTAN NY 10027
358,40375699,GENE'S RESTURANT,2018,1.0,73 WEST   11 STREET MANHATTAN NY 10011
359,40375819,MARIA RISTORANTE,2018,1.0,3073 EMMONS AVENUE BROOKLYN NY 11235
360,40375839,COZY SOUP & BURGER,2018,1.0,739 BROADWAY MANHATTAN NY 10003
